hebrew,count,english_translation,transliteration
סמית,24,Smith,smyt
החללית,24,The spacecraft,hḥllyt
להריץ,24,run,lhryṣ
מחטף,24,Hijacked,mḥṭp
החרמון,24,The Hermon,hḥrmwn
פלאנק,24,Plank,plʾnq
וההגירה,24,And migration,whhgyrh
דיטה,24,Diet,dyṭh
ביד,23,In hand,vyd
לוקחים,23,Take,lwqḥym
להורים,23,To parents,lhwrym
עקיבא,23,Akiva,ʿqyvʾ
חזרתי,23,I have returned,ḥzrty
אחרון,23,last,ʾḥrwn
החלטתי,23,I have decided,hḥlṭty
דוחה,23,repulsive,dwḥh
הדואר,23,The mail,hdwʾr
מבחינתו,23,For him,mvḥyntw
בכבוד,23,With respect,vkvwd
לאהוב,23,love,lʾhwv
לעצמי,23,To myself,lʿṣmy
כידוע,23,As is known,kydwʿ
כשהיה,23,When he was,kšhyh
ובא,23,And come,wvʾ
נתתי,23,I gave,ntty
דעתכם,23,Your mind,dʿtkm
לשנה,23,per year,lšnh
מביא,23,Brings,mvyʾ
בושה,23,shame,vwšh
יועץ,23,counselor,ywʿṣ
לאזור,23,To the area,lʾzwr
מקצועות,23,Professions,mqṣwʿwt
ובמיוחד,23,And especially,wvmywḥd
חלום,23,dream,ḥlwm
מקומי,23,local,mqwmy
לגייס,23,Raise,lgyys
הפרטי,23,Private,hprṭy
הגורם,23,The factor,hgwrm
במרץ,23,Vigorously,vmrṣ
עלייה,23,An increase,ʿlyyh
המקומית,23,Local,hmqwmyt
הרפואי,23,Medical,hrpwʾy
הרפובליקה,23,The Republic,hrpwvlyqh
הכלכלה,23,The economy,hklklh
קרל,23,Carl,qrl
האופציות,23,The options,hʾwpṣywt
לקיום,23,For existence,lqywm
מטוסים,23,Planes,mṭwsym
פיקוד,23,Command,pyqwd
לאי,23,To an island,lʾy
בערכי,23,In values,vʿrky
הוראות,23,Instructions,hwrʾwt
להפך,23,vice versa,lhpk
למנות,23,appoint,lmnwt
שפורסם,23,Published,špwrsm
הגבוה,23,The tall,hgvwh
תרופה,23,drug,trwph
הלוואי,23,I wish,hlwwʾy
לשלום,23,For peace,lšlwm
שמים,23,sky,šmym
חז,23,Strong,ḥz
להשוות,23,compare,lhšwwt
לפניו,23,In front of him,lpnyw
גור,23,cub,gwr
סדרה,23,series,sdrh
בעיית,23,A problem,vʿyyt
לאישה,23,To a woman,lʾyšh
לשום,23,For any,lšwm
לזהות,23,identify,lzhwt
כמוני,23,Like me,kmwny
מאפיינים,23,Characteristics,mʾpyynym
שייכת,23,Belongs to,šyykt
עבורו,23,For him,ʿvwrw
נכשל,23,failed,nkšl
בגביע,23,In the Cup,vgvyʿ
נגיד,23,governor,ngyd
לצה,23,Tot,lṣh
הטיסה,23,The flight,hṭysh
להבטיח,23,ensure,lhvṭyḥ
לרב,23,To the rabbi,lrv
מעלות,23,Degrees,mʿlwt
שלט,23,sign,šlṭ
ליהודים,23,To the Jews,lyhwdym
ניצחון,23,Victory,nyṣḥwn
מיזם,23,project,myzm
חיינו,23,Our lives,ḥyynw
מוחלטת,23,Absolute,mwḥlṭt
הכבידה,23,Gravity,hkvydh
גופה,23,body,gwph
הוצאו,23,Have been issued,hwṣʾw
בוצע,23,Performed,vwṣʿ
חברון,23,Hebron,ḥvrwn
באמריקה,23,In America,vʾmryqh
מתרחש,23,happening,mtrḥš
טבעיים,23,Natural,ṭvʿyym
ברוקולי,23,broccoli,vrwqwly
מספק,23,supplier,mspq
הקרן,23,The Foundation,hqrn
יהודיים,23,Jewish,yhwdyym
האות,23,The letter,hʾwt
הרצח,23,The murder,hrṣḥ
הישראלים,23,Israelis,hyšrʾlym
הכרחי,23,necessary,hkrḥy
הפועלים,23,The workers,hpwʿlym
דירוג,23,Rating,dyrwg
בקצב,23,At a rhythm,vqṣv
עבורי,23,For me,ʿvwry
בשינוי,23,In a change,všynwy
להשקיע,23,invest,lhšqyʿ
להמתין,23,wait,lhmtyn
לביטוח,23,For insurance,lvyṭwḥ
סמך,23,The trusted,smk
אחותו,23,His sister,ʾḥwtw
פוליטיקה,23,politics,pwlyṭyqh
קידום,23,Promotion,qydwm
הקול,23,The voice,hqwl
נעלם,23,unknown,nʿlm
הרחבה,23,expansion,hrḥvh
קניות,23,Shopping,qnywt
שרון,23,Sharon,šrwn
מעביר,23,conductor,mʿvyr
מחשבות,23,Thoughts,mḥšvwt
זמנו,23,His time,zmnw
שחזרתי,23,I have returned,šḥzrty
מודרנית,23,Modern,mwdrnyt
אוכלוסיית,23,A population,ʾwklwsyyt
בשוק,23,In the market,všwq
יקבל,23,Will receive,yqvl
הוכחה,23,proof,hwkḥh
אמין,23,reliable,ʾmyn
החיל,23,Corps,hḥyl
והיו,23,And were,whyw
המשלחת,23,The delegation,hmšlḥt
יוצאי,23,Views,ywṣʾy
אשה,23,woman,ʾšh
סבא,23,grandfather,svʾ
ביצע,23,Performed,vyṣʿ
סקירה,23,review,sqyrh
משתנים,23,Variables,mštnym
כראוי,23,Properly,krʾwy
ניר,23,paper,nyr
לרמת,23,To the level,lrmt
חמאס,23,Hamas,ḥmʾs
שירה,23,poetry,šyrh
לשיר,23,sing,lšyr
לצלם,23,photograph,lṣlm
לביצוע,23,to be performed,lvyṣwʿ
נוטה,23,inclined,nwṭh
תומכי,23,supporters,twmky
לדרוש,23,demand,ldrwš
במצבו,23,in his condition,vmṣvw
שבאמת,23,that really,švʾmt
בצער,23,in sorrow,vṣʿr
הגולן,23,the golan heights,hgwln
הצהרת,23,statement,hṣhrt
ממלא,23,fills,mmlʾ
חיבר,23,connected,ḥyvr
ולהתחיל,23,and start,wlhtḥyl
התאריך,23,the date,htʾryk
קווי,23,lines,qwwy
חיוך,23,smile,ḥywk
צור,23,flint,ṣwr
ציבוריים,23,public,ṣyvwryym
שירותים,23,services,šyrwtym
האסיר,23,the prisoner,hʾsyr
עונש,23,punishment,ʿwnš
דרכי,23,my ways,drky
נציג,23,representative,nṣyg
דרישות,23,requirements,dryšwt
הרישיון,23,the license,hryšywn
ההחלפה,23,the exchange,hhḥlph
הרעש,23,the noise,hrʿš
וכד,23,etc,wkd
חוזרות,23,repeats,ḥwzrwt
בשכונה,23,in the neighborhood,vškwnh
דוקא,23,precisely,dwqʾ
הזקן,23,the old man,hzqn
אחיד,23,uniform,ʾḥyd
האחות,23,the nurse,hʾḥwt
לחינוך,23,for education,lḥynwk
החופשית,23,the free one,hḥwpšyt
לתואר,23,for the degree,ltwʾr
הקתולית,23,catholic,hqtwlyt
ארכאולוגיה,23,archaeology,ʾrkʾwlwgyh
האצולה,23,the nobility,hʾṣwlh
לתמונות,23,for pictures,ltmwnwt
נמנה,23,one of the,nmnh
בצבעים,23,in colors,vṣvʿym
העברתי,23,i transferred,hʿvrty
תקציר,23,summary,tqṣyr
הרנסאנס,23,the renaissance,hrnsʾns
תתקבל,23,you will be accepted.,ttqvl
רשומים,23,registered,ršwmym
פתחת,23,you opened,ptḥt
הצי,23,הצי,hṣy
הקים,23,הקים,hqym
לאיחוד,23,לאיחוד,lʾyḥwd
בירוקרט,23,In a bureaucrat,vyrwqrṭ
הוצבה,23,הוצבה,hwṣvh
בתואר,23,In the degree,vtwʾr
דוקטור,23,דוקטור,dwqṭwr
אוקספורד,23,Oxford,ʾwqspwrd
הורחב,23,הורחב,hwrḥv
פסולה,23,Disqualified,pswlh
השחתה,23,השחתה,hšḥth
שהדף,23,That the page,šhdp
צפת,23,Safed,ṣpt
אילן,23,tree,ʾyln
ידיעתי,23,My knowledge,ydyʿty
רדיקלי,23,radical,rdyqly
שעשית,23,That you did,šʿšyt
שארל,23,Charles,šʾrl
צהוב,23,yellow,ṣhwv
בטקסט,23,In the text,vṭqsṭ
מועיל,23,helpful,mwʿyl
עודד,23,Oded,ʿwdd
האן,23,Han,hʾn
סטלין,23,Stalin,sṭlyn
וואלה,23,Walla,wwʾlh
סלוניקי,23,Thessaloniki,slwnyqy
בחור,22,guy,vḥwr
יראה,22,fear,yrʾh
הליכה,22,walk,hlykh
ודרך,22,And through,wdrk
שרה,22,Sarah,šrh
בשלוש,22,In three,všlwš
כליל,22,completely,klyl
המדרגות,22,The stairs,hmdrgwt
הפוך,22,reverse,hpwk
ואינה,22,And not,wʾynh
שהפך,22,That became,šhpk
העדפתי,22,I preferred,hʿdpty
הגעתי,22,I have arrived,hgʿty
במבט,22,In a look,vmvṭ
ההתנהגות,22,The behavior,hhtnhgwt
בתשלום,22,Paid,vtšlwm
חפצים,22,stuff,ḥpṣym
גרים,22,Live,grym
לפרט,22,detail,lprṭ
הרצון,22,The will,hrṣwn
ישאר,22,Will stay,yšʾr
יעלה,22,Will rise,yʿlh
עניינים,22,Matters,ʿnyynym
בעניינים,22,In matters,vʿnyynym
מזג,22,temper,mzg
המפגש,22,The encounter,hmpgš
באור,22,In the light,vʾwr
גורף,22,Sweeping,gwrp
נעשית,22,Is made,nʿšyt
הרבים,22,The many,hrvym
לואיס,22,Lewis,lwʾys
לקהילה,22,To the community,lqhylh
לאתרים,22,To the sites,lʾtrym
עור,22,skin,ʿwr
ודי,22,And enough,wdy
בסעיף,22,In section,vsʿyp
האדומים,22,The Reds,hʾdwmym
פיליפ,22,Philip,pylyp
חיוני,22,essential,ḥywny
שותף,22,partner,šwtp
הפשרה,22,melting,hpšrh
למניעת,22,To prevent,lmnyʿt
מגע,22,contact,mgʿ
לגיל,22,To age,lgyl
הקשים,22,The hardness,hqšym
השירותים,22,The services,hšyrwtym
והגיע,22,And came,whgyʿ
לדרום,22,To the south,ldrwm
גביע,22,cup,gvyʿ
שנינו,22,Both of us,šnynw
הדוגמה,22,The example,hdwgmh
עבירה,22,Offense,ʿvyrh
נגדו,22,Against him,ngdw
מאידך,22,On the other hand,mʾydk
התרופות,22,The drugs,htrwpwt
תוספת,22,extension,twspt
בהשוואה,22,Compared to,vhšwwʾh
ההמלצה,22,The recommendation,hhmlṣh
לבנה,22,brick,lvnh
לעזרה,22,For help,lʿzrh
ולבסוף,22,And finally,wlvswp
המקרא,22,Bible,hmqrʾ
מוצאים,22,Find,mwṣʾym
בתורה,22,In the Torah,vtwrh
הצופים,22,The viewers,hṣwpym
הסיכוי,22,The chance,hsykwy
לנצל,22,exploit,lnṣl
הפוליטי,22,The political,hpwlyṭy
קם,22,Rose,qm
הרגישה,22,Felt,hrgyšh
נפשי,22,mental,npšy
התחלה,22,start,htḥlh
עלולים,22,May,ʿlwlym
מתייחסת,22,Refers to,mtyyḥst
מודעות,22,awareness,mwdʿwt
המכריע,22,The decisive,hmkryʿ
לים,22,To the sea,lym
גז,22,gas,gz
שמגיע,22,That comes,šmgyʿ
נוסחה,22,formula,nwsḥh
כשהם,22,When they are,kšhm
רץ,22,running,rṣ
השחרור,22,The release,hšḥrwr
במדיניות,22,In policy,vmdynywt
ממקום,22,From a place,mmqwm
קריירה,22,Career,qryyrh
הספרדי,22,The Spanish,hsprdy
פוטר,22,Potter,pwṭr
ביולי,22,In July,vywly
סופית,22,suffix,swpyt
לבדו,22,himself,lvdw
נשא,22,Carried,nšʾ
בחיפה,22,In Haifa,vḥyph
בחרו,22,Choose,vḥrw
הקמפיין,22,The campaign,hqmpyyn
ספציפית,22,Specifically,spṣypyt
להודות,22,admit,lhwdwt
אט,22,slowly,ʾṭ
להשיב,22,answer,lhšyv
ושאר,22,And the rest of,wšʾr
שואה,22,holocaust,šwʾh
הבנת,22,Understanding,hvnt
מאנשי,22,From people,mʾnšy
מאי,22,May,mʾy
נוצרה,22,Created,nwṣrh
הבולטים,22,Prominent,hvwlṭym
למלך,22,To the king,lmlk
וילדים,22,And children,wyldym
ירוק,22,green,yrwq
מרכזיים,22,Central,mrkzyym
נויברגר,22,Nyberger,nwyvrgr
אביה,22,Her father,ʾvyh
לבוש,22,dressed,lvwš
בארכיון,22,In the archive,vʾrkywn
יק,22,Will,yq
שליש,22,third,šlyš
כוס,22,glass,kws
בקבוק,22,bottle,vqvwq
לחימה,22,fighting,lḥymh
גרמני,22,German,grmny
לקפוץ,22,jump,lqpwṣ
עצים,22,Trees,ʿṣym
בחומר,22,In the material,vḥwmr
בסביבה,22,Around the environment,vsvyvh
חלפו,22,Have passed,ḥlpw
נגמר,22,finished,ngmr
סופרים,22,Writers,swprym
ולכתוב,22,And write,wlktwv
למטרות,22,For purposes,lmṭrwt
האמונה,22,Faith,hʾmwnh
ברחובות,22,On the streets,vrḥwvwt
הניח,22,Placed,hnyḥ
העיירה,22,The town,hʿyyrh
לסיפור,22,To the story,lsypwr
אליהו,22,elijah,ʾlyhw
מחייב,22,binding,mḥyyv
פעילויות,22,activities,pʿylwywt
ועדה,22,committee,wʿdh
חברו,22,his friend,ḥvrw
ותו,22,and that,wtw
פרי,22,fruit,pry
תור,22,turn,twr
קצרות,22,shortness,qṣrwt
דיני,22,laws,dyny
הלגיון,22,Legion,hlgywn
מצביע,22,pointer,mṣvyʿ
בהר,22,In the mountain,vhr
עדות,22,testimony,ʿdwt
במסע,22,On the journey,vmsʿ
וחשוב,22,And important,wḥšwv
פרשנות,22,commentary,pršnwt
החיות,22,The animals,hḥywt
רווחים,22,Spaces,rwwḥym
עלילה,22,plot,ʿlylh
זווית,22,Angle,zwwyt
ביקור,22,A visit,vyqwr
ששם,22,Where,ššm
מצדיק,22,Justifies,mṣdyq
בחלל,22,In space,vḥll
מצטער,22,sorry,mṣṭʿr
באלבום,22,In the album,vʾlvwm
שמש,22,sun,šmš
לפורנוגרפיה,22,To pornography,lpwrnwgrpyh
במישור,22,In the plane,vmyšwr
האזרח,22,Citizen,hʾzrḥ
קיומה,22,An existence,qywmh
מנחה,22,Guide,mnḥh
מיהו,22,Who,myhw
התשעים,22,The nineties,htšʿym
שרירותי,22,arbitrary,šryrwty
תרם,22,Contributed to,trm
העזרה,22,Help,hʿzrh
בספק,22,In doubt,vspq
לאמת,22,verify,lʾmt
קריאת,22,Reading,qryʾt
קולו,22,His voice,qwlw
פחד,22,fear,pḥd
והחל,22,And started,whḥl
לאישור,22,For approval,lʾyšwr
לזכויות,22,For rights,lzkwywt
למסע,22,For a journey,lmsʿ
המזרחי,22,East,hmzrḥy
בישיבת,22,At a meeting,vyšyvt
ממלכתי,22,state,mmlkty
האגודה,22,The Association,hʾgwdh
לרכז,22,concentrate,lrkz
בשמות,22,In the names,všmwt
בתחומי,22,In the fields,vtḥwmy
והדבר,22,And this,whdvr
הסתכלה,22,Looked,hstklh
לאנגליה,22,To England,lʾnglyh
ומדוע,22,And why,wmdwʿ
בביתו,22,At home,vvytw
חמושים,22,Armed,ḥmwšym
באיזו,22,What,vʾyzw
הומור,22,humor,hwmwr
צרפתית,22,French,ṣrptyt
הפרס,22,The prize,hprs
מקצועיות,22,professionalism,mqṣwʿywt
המלכותי,22,Royal,hmlkwty
התאוריה,22,The theory,htʾwryh
לעיין,22,To review,lʿyyn
לאנציקלופדיה,22,To an encyclopedia,lʾnṣyqlwpdyh
ליפן,22,To Japan,lypn
לקצר,22,short,lqṣr
למדיניות,22,To the policy,lmdynywt
שווייץ,22,Switzerland,šwwyyṣ
ונס,22,And miracle,wns
לפרלמנט,22,To parliament,lprlmnṭ
וחומר,22,And material,wḥwmr
שטראוס,22,Strauss,šṭrʾws
תעתיק,22,transliteration,tʿtyq
המלכותית,22,Royal,hmlkwtyt
פיסקה,22,A paragraph,pysqh
הטבח,22,The massacre,hṭvḥ
שיצרת,22,That you created,šyṣrt
אפנה,22,fashion,ʾpnh
למאמר,22,To an article,lmʾmr
פנחס,22,Pinchas,pnḥs
תמחוק,22,Will delete,tmḥwq
הנסיך,22,The prince,hnsyk
שיניתי,22,I have changed,šynyty
מוחק,22,eraser,mwḥq
פלוני,22,certain,plwny
ירש,22,Inherited,yrš
תכתוב,22,Write,tktwv
ור,22,Rose,wr
בבלי,22,Babylonian,vvly
השמונים,21,The eighties,hšmwnym
נסיעה,21,travel,nsyʿh
שהכל,21,That everything,šhkl
בקשות,21,Requests,vqšwt
הזכות,21,The right,hzkwt
ביתו,21,His home,vytw
תפיסה,21,perception,tpysh
רדיו,21,radio,rdyw
חילופי,21,An exchange,ḥylwpy
בטלפון,21,On the phone,vṭlpwn
להביע,21,express,lhvyʿ
הסעיף,21,The section,hsʿyp
תמורת,21,in exchange for,tmwrt
בנים,21,Boys,vnym
שליטה,21,control,šlyṭh
דיווח,21,A report,dywwḥ
בתרבות,21,In culture,vtrvwt
הטכנולוגיה,21,Technology,hṭknwlwgyh
לפגוש,21,meet,lpgwš
לזו,21,To that,lzw
בתשובה,21,In reply,vtšwvh
שעובד,21,Who works,šʿwvd
בילדים,21,In children,vyldym
יעילה,21,Effective,yʿylh
לזוז,21,move,lzwz
עבורם,21,For them,ʿvwrm
הסמכות,21,The authority,hsmkwt
משלהם,21,Their own,mšlhm
מרצה,21,lecturer,mrṣh
חולה,21,patient,ḥwlh
מרקס,21,Marx,mrqs
בנשק,21,In weapons,vnšq
הרע,21,Evil,hrʿ
שקשה,21,That is difficult,šqšh
ממשיכה,21,Continuing,mmšykh
אות,21,signal,ʾwt
מכוון,21,aimed,mkwwn
מייד,21,Immediately,myyd
הציבורי,21,The public,hṣyvwry
העיקריים,21,The main ones,hʿyqryym
הבדיקה,21,The test,hvdyqh
כפול,21,double,kpwl
בטלוויזיה,21,On television,vṭlwwyzyh
העסק,21,Business,hʿsq
חייה,21,Her life,ḥyyh
עלות,21,cost,ʿlwt
מעורר,21,arousing,mʿwrr
הממצאים,21,The findings,hmmṣʾym
מזונות,21,Foods,mzwnwt
עמדו,21,Stood,ʿmdw
כפולה,21,Duplicate,kpwlh
הקלה,21,relief,hqlh
חתם,21,underwriter,ḥtm
בדיונים,21,In discussions,vdywnym
מציאות,21,reality,mṣyʾwt
אמצע,21,middle,ʾmṣʿ
ההצלחה,21,Success,hhṣlḥh
אזורי,21,regional,ʾzwry
נהנה,21,beneficiary,nhnh
המפורסם,21,The famous,hmpwrsm
מרחוק,21,Remote,mrḥwq
נדרשת,21,Required,ndršt
יל,21,A child,yl
באירוע,21,At an event,vʾyrwʿ
ליל,21,night,lyl
הספירה,21,AD,hspyrh
לבנים,21,whites,lvnym
הסביר,21,Explained,hsvyr
חגיגות,21,Celebrations,ḥgygwt
לשכוח,21,forget,lškwḥ
החשובים,21,The most important,hḥšwvym
ההתנגדות,21,Resistance,hhtngdwt
המוני,21,Masses,hmwny
לדעתו,21,In his opinion,ldʿtw
היווה,21,Was,hywwh
איור,21,illustration,ʾywr
מטוסי,21,Planes,mṭwsy
מוצלחת,21,Successful,mwṣlḥt
הסוכר,21,The sugar,hswkr
במבצע,21,In an operation,vmvṣʿ
בתקווה,21,Hoping,vtqwwh
בערים,21,In cities,vʿrym
תוצאה,21,result,twṣʾh
פרסומי,21,Advertising,prswmy
התחתון,21,Lower,htḥtwn
דיווחים,21,Reports,dywwḥym
זקוקה,21,Need,zqwqh
כפות,21,Paws,kpwt
שביל,21,path,švyl
העל,21,The super,hʿl
טנקים,21,Tanks,ṭnqym
נמנע,21,impossible,nmnʿ
משימות,21,Tasks,mšymwt
להקל,21,facilitate,lhql
ימצא,21,Will find,ymṣʾ
גדר,21,fence,gdr
עניתי,21,I answered,ʿnyty
נציגי,21,Representatives,nṣygy
הרומן,21,The novel,hrwmn
ויס,21,Weiss,wys
אחים,21,Siblings,ʾḥym
מחבר,21,author,mḥvr
ארבעים,21,forty,ʾrvʿym
לחקור,21,explore,lḥqwr
לעומק,21,deeply,lʿwmq
בשיחה,21,In a conversation,všyḥh
ולקבל,21,And get,wlqvl
תחומי,21,Domain,tḥwmy
יין,21,wine,yyn
ההיא,21,that,hhyʾ
השעון,21,The watch,hšʿwn
החורף,21,Winter,hḥwrp
וחלקם,21,And some,wḥlqm
חוקר,21,researcher,ḥwqr
שאיש,21,That man,šʾyš
ההתאבדות,21,The suicide,hhtʾvdwt
כישלון,21,Failure,kyšlwn
מידת,21,The degree of,mydt
גבי,21,dorsal,gvy
משמעית,21,Unequivocally,mšmʿyt
אלכסנדר,21,Alexander,ʾlksndr
ריקים,21,Empty,ryqym
הדסון,21,Hudson,hdswn
לביקורת,21,For review,lvyqwrt
אמריקאית,21,American,ʾmryqʾyt
במסלול,21,On the track,vmslwl
והפך,21,And became,whpk
מסגרת,21,frame,msgrt
כולכם,21,All of you,kwlkm
ההתקפה,21,The attack,hhtqph
נכונים,21,Correctly,nkwnym
ממוקמת,21,Located,mmwqmt
ארצה,21,To the sake of,ʾrṣh
גרועים,21,Bad,grwʿym
הקשורים,21,Associated with,hqšwrym
להבדיל,21,distinguish,lhvdyl
להיראות,21,To look,lhyrʾwt
ניצול,21,Exploitation,nyṣwl
דמוקרטית,21,Democratic,dmwqrṭyt
האנס,21,Hans,hʾns
השיח,21,The discourse,hšyḥ
תקופות,21,Periods,tqwpwt
טורקיה,21,Turkey,ṭwrqyh
אהבתי,21,I loved,ʾhvty
ברוסיה,21,In Russia,vrwsyh
חמה,21,rage,ḥmh
מסויימת,21,Some,mswyymt
החיפוש,21,Search,hḥypwš
פתיחה,21,opening,ptyḥh
כמקובל,21,As is the case,kmqwvl
היוו,21,Was,hyww
פקודה,21,command,pqwdh
תלמידים,21,Students,tlmydym
פתחה,21,opening,ptḥh
מכוח,21,by virtue of,mkwḥ
רשאים,21,May,ršʾym
ההכנות,21,Preparations,hhknwt
שחייה,21,Swimming,šḥyyh
יופיעו,21,Will appear,ywpyʿw
טבעו,21,Nature,ṭvʿw
להסתכל,21,look,lhstkl
רוסית,21,Russian,rwsyt
סגל,21,staff,sgl
מבעד,21,through,mvʿd
ארמון,21,palace,ʾrmwn
הצצתי,21,I have gained,hṣṣty
ארגז,21,box,ʾrgz
הצלחת,21,The plate,hṣlḥt
מצומצם,21,limited,mṣwmṣm
בשכונת,21,In the neighborhood,vškwnt
יסודות,21,Foundations,yswdwt
המשפטית,21,The legal,hmšpṭyt
בצעירותו,21,In his youth,vṣʿyrwtw
מנוהלת,21,Managed,mnwhlt
העמותה,21,The association,hʿmwth
סניפים,21,Branches,snypym
פורטלים,21,Portals,pwrṭlym
גרמנית,21,German,grmnyt
הסמל,21,The icon,hsml
ויקיזציה,21,Vicky,wyqyzṣyh
לכבד,21,respect,lkvd
בתקציר,21,In the summary,vtqṣyr
עורכים,21,Editors,ʿwrkym
בניסוח,21,In the wording,vnyswḥ
וילהלם,21,Wilhelm,wylhlm
בברית,21,In the alliance,vvryt
הדפים,21,The pages,hdpym
סיימתי,21,I have finished,syymty
בחלקו,21,In part,vḥlqw
עיראק,21,Iraq,ʿyrʾq
מקביל,21,parallel,mqvyl
ולצערי,21,And unfortunately,wlṣʿry
לשכתוב,21,Writing,lšktwv
פסטיבל,21,festival,psṭyvl
התיק,21,The bag,htyq
פרידמן,21,Friedman,prydmn
בנויים,21,Built up,vnwyym
במספרים,21,In numbers,vmsprym
המפעילים,21,The operators,hmpʿylym
רצוף,21,consecutive,rṣwp
סיווג,21,Classification,sywwg
הלורדים,21,Lords,hlwrdym
הסרתי,21,I have removed,hsrty
בלוג,21,Blog,vlwg
טובת,21,Good,ṭwvt
ליאו,21,Leo,lyʾw
חותם,21,stamp,ḥwtm
הצפנה,21,Encryption,hṣpnh
פסיק,21,comma,psyq
הטבעיים,21,The natural,hṭvʿyym
השאיר,20,Left,hšʾyr
הצ,20,Has been,hṣ
התלבטות,20,exertion,htlvṭwt
הספציפי,20,The specific,hspṣypy
מזהה,20,Id,mzhh
רגשית,20,Emotionally,rgšyt
טבלה,20,table,ṭvlh
פיזית,20,Physically,pyzyt
גופנית,20,Physical,gwpnyt
שעובר,20,That passes,šʿwvr
מלמעלה,20,from above,mlmʿlh
השיחות,20,The calls,hšyḥwt
תקבל,20,You will receive,tqvl
וחוץ,20,And outside,wḥwṣ
רשימות,20,Lists,ršymwt
מרוב,20,With,mrwv
אותיות,20,Letters,ʾwtywt
בכיוון,20,In the direction,vkywwn
אתן,20,you,ʾtn
להעריך,20,assess,lhʿryk
נסיון,20,experience,nsywn
שופטים,20,Judges,šwpṭym
המושגים,20,The concepts,hmwšgym
במחשב,20,On a computer,vmḥšv
מצוות,20,Mitzvah,mṣwwt
שאסור,20,Which are forbidden,šʾswr
פסקי,20,Rulings,psqy
ובתי,20,And my daughter,wvty
נאמן,20,loyal,nʾmn
המגזר,20,The sector,hmgzr
מעדיפים,20,Prefer,mʿdypym
טל,20,Tel,ṭl
זילנד,20,Zealand,zylnd
הגבוהה,20,The tall,hgvwhh
תאי,20,cellular,tʾy
מנוע,20,engine,mnwʿ
הרגיל,20,The usual,hrgyl
החשמל,20,The electricity,hḥšml
רמה,20,level,rmh
מבוגר,20,adult,mvwgr
שיח,20,discourse,šyḥ
המורה,20,The teacher,hmwrh
הפלסטינית,20,Palestinian,hplsṭynyt
נחמן,20,Nachman,nḥmn
התקיימה,20,Took place,htqyymh
בשטחים,20,In the Occupied Territories,všṭḥym
עצמנו,20,Ourselves,ʿṣmnw
ולפיכך,20,And thus,wlpykk
המשבר,20,The crisis,hmšvr
לאומית,20,National,lʾwmyt
טילים,20,Missiles,ṭylym
בשורה,20,news,všwrh
לסיכום,20,To sum up,lsykwm
ונשים,20,And women,wnšym
הקוד,20,The code,hqwd
התפטר,20,Resigned,htpṭr
וקיבל,20,And received,wqyvl
קביעת,20,Setting up,qvyʿt
לבעלי,20,To my husband,lvʿly
וכלי,20,And a vessel,wkly
באקדמיה,20,In academia,vʾqdmyh
תחומים,20,Areas,tḥwmym
מבקשת,20,Asking for,mvqšt
הכוללת,20,Overall,hkwllt
הניתוח,20,The analysis,hnytwḥ
לנחש,20,guess,lnḥš
סקר,20,survey,sqr
פנתה,20,Turned,pnth
ולמרות,20,And despite,wlmrwt
בוטה,20,Blatant,vwṭh
פסיכולוגי,20,psychological,psykwlwgy
חזקים,20,Strong,ḥzqym
אשמה,20,guilt,ʾšmh
בדם,20,In the blood,vdm
נמוכים,20,Low,nmwkym
מייצג,20,Represents,myyṣg
במצרים,20,In Egypt,vmṣrym
ייצור,20,Production,yyṣwr
השפעת,20,Influence,hšpʿt
עודף,20,excess,ʿwdp
מענה,20,response,mʿnh
הכרה,20,recognition,hkrh
הועלה,20,Has been uploaded,hwʿlh
מכלל,20,A whole,mkll
הציעו,20,Suggested,hṣyʿw
המיוחד,20,Special,hmywḥd
הוצג,20,Has been presented,hwṣg
בחירתו,20,His choice,vḥyrtw
עיתונאים,20,Journalists,ʿytwnʾym
פינה,20,Corner,pynh
בממשל,20,In the government,vmmšl
התייחס,20,Referred to,htyyḥs
ידעה,20,Knew,ydʿh
נכנסו,20,Have entered,nknsw
שירי,20,Poems,šyry
ניתנה,20,Given,nytnh
להרוג,20,kill,lhrwg
מצבו,20,His condition,mṣvw
נכונות,20,willingness,nkwnwt
צמח,20,plant,ṣmḥ
ואי,20,And island,wʾy
להתווכח,20,To argue,lhtwwkḥ
הלכות,20,The laws,hlkwt
פוגעת,20,Hits,pwgʿt
כתובות,20,Addresses,ktwvwt
הסופר,20,The writer,hswpr
מעשי,20,practical,mʿšy
בואינג,20,Boeing,vwʾyng
נחשבים,20,Are considered,nḥšvym
זכוכית,20,glass,zkwkyt
בנפרד,20,separately,vnprd
פתרונות,20,Solutions,ptrwnwt
בראיון,20,In an interview,vrʾywn
אמריקאים,20,Americans,ʾmryqʾym
פיו,20,Pad,pyw
רזי,20,Rios,rzy
לס,20,Les,ls
שומר,20,guard,šwmr
איברים,20,Organs,ʾyvrym
וניתן,20,And can be,wnytn
לשוב,20,return,lšwv
מביאים,20,Bring,mvyʾym
מתחילים,20,Beginning,mtḥylym
הדר,20,splendor,hdr
השלושה,20,The three,hšlwšh
שעוד,20,Still,šʿwd
ערכת,20,A kit,ʿrkt
הרמב,20,Harmab,hrmv
חקירה,20,investigation,ḥqyrh
הקשור,20,Associated with,hqšwr
