Hebrew,English
הודעת(hwdʿt),A message
צבאיות(ṣvʾywt),Military
לולי(lwly),Loli
להשאר(lhšʾr),stay
ברוסית(vrwsyt),In Russian
עזבו(ʿzvw),Have left
תנסה(tnsh),Try
להסכים(lhskym),agree
למשתמש(lmštmš),To the user
פטרבורג(pṭrvwrg),Petersburg
הכיבוש(hkyvwš),The occupation
לשלטון(lšlṭwn),For power
פורמלית(pwrmlyt),formally
פיצוץ(pyṣwṣ),A blast
האפיפיור(hʾpypywr),The pope
שמועות(šmwʿwt),Rumors
גאורגיה(gʾwrgyh),Georgia
להקמת(lhqmt),To set up
השתמשת(hštmšt),You have used
גואל(gwʾl),redeemer
נפוליאון(npwlyʾwn),Napoleon
נתקלתי(ntqlty),I have encountered
להגזים(lhgzym),exaggerate
חושש(ḥwšš),afraid
מקסימום(mqsymwm),maximum
קש(qš),straw
עיין(ʿyyn),Please refer to
יצרתי(yṣrty),I have created
חשבת(ḥšvt),You thought
סמית(smyt),Smith
החללית(hḥllyt),The spacecraft
להריץ(lhryṣ),run
מחטף(mḥṭp),Hijacked
החרמון(hḥrmwn),The Hermon
פלאנק(plʾnq),Plank
וההגירה(whhgyrh),And migration
דיטה(dyṭh),Diet
ביד(vyd),In hand
לוקחים(lwqḥym),Take
להורים(lhwrym),To parents
עקיבא(ʿqyvʾ),Akiva
חזרתי(ḥzrty),I have returned
אחרון(ʾḥrwn),last
החלטתי(hḥlṭty),I have decided
דוחה(dwḥh),repulsive
הדואר(hdwʾr),The mail
מבחינתו(mvḥyntw),For him
בכבוד(vkvwd),With respect
לאהוב(lʾhwv),love
לעצמי(lʿṣmy),To myself
כידוע(kydwʿ),As is known
כשהיה(kšhyh),When he was
ובא(wvʾ),And come
נתתי(ntty),I gave
דעתכם(dʿtkm),Your mind
לשנה(lšnh),per year
מביא(mvyʾ),Brings
בושה(vwšh),shame
יועץ(ywʿṣ),counselor
לאזור(lʾzwr),To the area
מקצועות(mqṣwʿwt),Professions
ובמיוחד(wvmywḥd),And especially
חלום(ḥlwm),dream
מקומי(mqwmy),local
לגייס(lgyys),Raise
הפרטי(hprṭy),Private
הגורם(hgwrm),The factor
במרץ(vmrṣ),Vigorously
עלייה(ʿlyyh),An increase
המקומית(hmqwmyt),Local
הרפואי(hrpwʾy),Medical
הרפובליקה(hrpwvlyqh),The Republic
הכלכלה(hklklh),The economy
קרל(qrl),Carl
האופציות(hʾwpṣywt),The options
לקיום(lqywm),For existence
מטוסים(mṭwsym),Planes
פיקוד(pyqwd),Command
לאי(lʾy),To an island
בערכי(vʿrky),In values
הוראות(hwrʾwt),Instructions
להפך(lhpk),vice versa
למנות(lmnwt),appoint
שפורסם(špwrsm),Published
הגבוה(hgvwh),The tall
תרופה(trwph),drug
הלוואי(hlwwʾy),I wish
לשלום(lšlwm),For peace
שמים(šmym),sky
חז(ḥz),Strong
להשוות(lhšwwt),compare
לפניו(lpnyw),In front of him
גור(gwr),cub
סדרה(sdrh),series
בעיית(vʿyyt),A problem
לאישה(lʾyšh),To a woman
לשום(lšwm),For any
לזהות(lzhwt),identify
כמוני(kmwny),Like me
מאפיינים(mʾpyynym),Characteristics
שייכת(šyykt),Belongs to
עבורו(ʿvwrw),For him
נכשל(nkšl),failed
בגביע(vgvyʿ),In the Cup
נגיד(ngyd),governor
לצה(lṣh),Tot
הטיסה(hṭysh),The flight
להבטיח(lhvṭyḥ),ensure
לרב(lrv),To the rabbi
מעלות(mʿlwt),Degrees
שלט(šlṭ),sign
ליהודים(lyhwdym),To the Jews
ניצחון(nyṣḥwn),Victory
מיזם(myzm),project
חיינו(ḥyynw),Our lives
מוחלטת(mwḥlṭt),Absolute
הכבידה(hkvydh),Gravity
גופה(gwph),body
הוצאו(hwṣʾw),Have been issued
בוצע(vwṣʿ),Performed
חברון(ḥvrwn),Hebron
באמריקה(vʾmryqh),In America
מתרחש(mtrḥš),happening
טבעיים(ṭvʿyym),Natural
ברוקולי(vrwqwly),broccoli
מספק(mspq),supplier
הקרן(hqrn),The Foundation
יהודיים(yhwdyym),Jewish
האות(hʾwt),The letter
הרצח(hrṣḥ),The murder
הישראלים(hyšrʾlym),Israelis
הכרחי(hkrḥy),necessary
הפועלים(hpwʿlym),The workers
דירוג(dyrwg),Rating
בקצב(vqṣv),At a rhythm
עבורי(ʿvwry),For me
בשינוי(všynwy),In a change
להשקיע(lhšqyʿ),invest
להמתין(lhmtyn),wait
לביטוח(lvyṭwḥ),For insurance
סמך(smk),The trusted
אחותו(ʾḥwtw),His sister
פוליטיקה(pwlyṭyqh),politics
קידום(qydwm),Promotion
הקול(hqwl),The voice
נעלם(nʿlm),unknown
הרחבה(hrḥvh),expansion
קניות(qnywt),Shopping
שרון(šrwn),Sharon
מעביר(mʿvyr),conductor
מחשבות(mḥšvwt),Thoughts
זמנו(zmnw),His time
שחזרתי(šḥzrty),I have returned
מודרנית(mwdrnyt),Modern
אוכלוסיית(ʾwklwsyyt),A population
בשוק(všwq),In the market
יקבל(yqvl),Will receive
הוכחה(hwkḥh),proof
אמין(ʾmyn),reliable
החיל(hḥyl),Corps
והיו(whyw),And were
המשלחת(hmšlḥt),The delegation
יוצאי(ywṣʾy),Views
אשה(ʾšh),woman
סבא(svʾ),grandfather
ביצע(vyṣʿ),Performed
סקירה(sqyrh),review
משתנים(mštnym),Variables
כראוי(krʾwy),Properly
ניר(nyr),paper
לרמת(lrmt),To the level
חמאס(ḥmʾs),Hamas
שירה(šyrh),poetry
לשיר(lšyr),sing
לצלם(lṣlm),photograph
לביצוע(lvyṣwʿ),to be performed
נוטה(nwṭh),inclined
תומכי(twmky),supporters
לדרוש(ldrwš),demand
במצבו(vmṣvw),in his condition
שבאמת(švʾmt),that really
בצער(vṣʿr),in sorrow
הגולן(hgwln),the golan heights
הצהרת(hṣhrt),statement
ממלא(mmlʾ),fills
חיבר(ḥyvr),connected
ולהתחיל(wlhtḥyl),and start
התאריך(htʾryk),the date
קווי(qwwy),lines
חיוך(ḥywk),smile
צור(ṣwr),flint
ציבוריים(ṣyvwryym),public
שירותים(šyrwtym),services
האסיר(hʾsyr),the prisoner
עונש(ʿwnš),punishment
דרכי(drky),my ways
נציג(nṣyg),representative
דרישות(dryšwt),requirements
הרישיון(hryšywn),the license
ההחלפה(hhḥlph),the exchange
הרעש(hrʿš),the noise
וכד(wkd),etc
חוזרות(ḥwzrwt),repeats
בשכונה(vškwnh),in the neighborhood
דוקא(dwqʾ),precisely
הזקן(hzqn),the old man
אחיד(ʾḥyd),uniform
האחות(hʾḥwt),the nurse
לחינוך(lḥynwk),for education
החופשית(hḥwpšyt),the free one
לתואר(ltwʾr),for the degree
הקתולית(hqtwlyt),catholic
ארכאולוגיה(ʾrkʾwlwgyh),archaeology
האצולה(hʾṣwlh),the nobility
לתמונות(ltmwnwt),for pictures
נמנה(nmnh),one of the
בצבעים(vṣvʿym),in colors
העברתי(hʿvrty),i transferred
תקציר(tqṣyr),summary
הרנסאנס(hrnsʾns),the renaissance
תתקבל(ttqvl),you will be accepted.
רשומים(ršwmym),registered
פתחת(ptḥt),you opened
הצי(hṣy),הצי
הקים(hqym),הקים
לאיחוד(lʾyḥwd),לאיחוד
בירוקרט(vyrwqrṭ),In a bureaucrat
הוצבה(hwṣvh),הוצבה
בתואר(vtwʾr),In the degree
דוקטור(dwqṭwr),דוקטור
אוקספורד(ʾwqspwrd),Oxford
הורחב(hwrḥv),הורחב
פסולה(pswlh),Disqualified
השחתה(hšḥth),השחתה
שהדף(šhdp),That the page
צפת(ṣpt),Safed
אילן(ʾyln),tree
ידיעתי(ydyʿty),My knowledge
רדיקלי(rdyqly),radical
שעשית(šʿšyt),That you did
שארל(šʾrl),Charles
צהוב(ṣhwv),yellow
בטקסט(vṭqsṭ),In the text
מועיל(mwʿyl),helpful
עודד(ʿwdd),Oded
האן(hʾn),Han
סטלין(sṭlyn),Stalin
וואלה(wwʾlh),Walla
סלוניקי(slwnyqy),Thessaloniki
בחור(vḥwr),guy
יראה(yrʾh),fear
הליכה(hlykh),walk
ודרך(wdrk),And through
שרה(šrh),Sarah
בשלוש(všlwš),In three
כליל(klyl),completely
המדרגות(hmdrgwt),The stairs
הפוך(hpwk),reverse
ואינה(wʾynh),And not
שהפך(šhpk),That became
העדפתי(hʿdpty),I preferred
הגעתי(hgʿty),I have arrived
במבט(vmvṭ),In a look
ההתנהגות(hhtnhgwt),The behavior
בתשלום(vtšlwm),Paid
חפצים(ḥpṣym),stuff
גרים(grym),Live
לפרט(lprṭ),detail
הרצון(hrṣwn),The will
ישאר(yšʾr),Will stay
יעלה(yʿlh),Will rise
עניינים(ʿnyynym),Matters
בעניינים(vʿnyynym),In matters
מזג(mzg),temper
המפגש(hmpgš),The encounter
באור(vʾwr),In the light
גורף(gwrp),Sweeping
נעשית(nʿšyt),Is made
הרבים(hrvym),The many
לואיס(lwʾys),Lewis
לקהילה(lqhylh),To the community
לאתרים(lʾtrym),To the sites
עור(ʿwr),skin
ודי(wdy),And enough
בסעיף(vsʿyp),In section
האדומים(hʾdwmym),The Reds
פיליפ(pylyp),Philip
חיוני(ḥywny),essential
שותף(šwtp),partner
הפשרה(hpšrh),melting
למניעת(lmnyʿt),To prevent
מגע(mgʿ),contact
לגיל(lgyl),To age
הקשים(hqšym),The hardness
השירותים(hšyrwtym),The services
והגיע(whgyʿ),And came
לדרום(ldrwm),To the south
גביע(gvyʿ),cup
שנינו(šnynw),Both of us
הדוגמה(hdwgmh),The example
עבירה(ʿvyrh),Offense
נגדו(ngdw),Against him
מאידך(mʾydk),On the other hand
התרופות(htrwpwt),The drugs
תוספת(twspt),extension
בהשוואה(vhšwwʾh),Compared to
ההמלצה(hhmlṣh),The recommendation
לבנה(lvnh),brick
לעזרה(lʿzrh),For help
ולבסוף(wlvswp),And finally
המקרא(hmqrʾ),Bible
מוצאים(mwṣʾym),Find
בתורה(vtwrh),In the Torah
הצופים(hṣwpym),The viewers
הסיכוי(hsykwy),The chance
לנצל(lnṣl),exploit
הפוליטי(hpwlyṭy),The political
קם(qm),Rose
הרגישה(hrgyšh),Felt
נפשי(npšy),mental
התחלה(htḥlh),start
עלולים(ʿlwlym),May
מתייחסת(mtyyḥst),Refers to
מודעות(mwdʿwt),awareness
המכריע(hmkryʿ),The decisive
לים(lym),To the sea
גז(gz),gas
שמגיע(šmgyʿ),That comes
נוסחה(nwsḥh),formula
כשהם(kšhm),When they are
רץ(rṣ),running
השחרור(hšḥrwr),The release
במדיניות(vmdynywt),In policy
ממקום(mmqwm),From a place
קריירה(qryyrh),Career
הספרדי(hsprdy),The Spanish
פוטר(pwṭr),Potter
ביולי(vywly),In July
סופית(swpyt),suffix
לבדו(lvdw),himself
נשא(nšʾ),Carried
בחיפה(vḥyph),In Haifa
בחרו(vḥrw),Choose
הקמפיין(hqmpyyn),The campaign
ספציפית(spṣypyt),Specifically
להודות(lhwdwt),admit
אט(ʾṭ),slowly
להשיב(lhšyv),answer
ושאר(wšʾr),And the rest of
שואה(šwʾh),holocaust
הבנת(hvnt),Understanding
מאנשי(mʾnšy),From people
מאי(mʾy),May
נוצרה(nwṣrh),Created
הבולטים(hvwlṭym),Prominent
למלך(lmlk),To the king
וילדים(wyldym),And children
ירוק(yrwq),green
מרכזיים(mrkzyym),Central
נויברגר(nwyvrgr),Nyberger
אביה(ʾvyh),Her father
לבוש(lvwš),dressed
בארכיון(vʾrkywn),In the archive
יק(yq),Will
שליש(šlyš),third
כוס(kws),glass
בקבוק(vqvwq),bottle
לחימה(lḥymh),fighting
גרמני(grmny),German
לקפוץ(lqpwṣ),jump
עצים(ʿṣym),Trees
בחומר(vḥwmr),In the material
בסביבה(vsvyvh),Around the environment
חלפו(ḥlpw),Have passed
נגמר(ngmr),finished
סופרים(swprym),Writers
ולכתוב(wlktwv),And write
למטרות(lmṭrwt),For purposes
האמונה(hʾmwnh),Faith
ברחובות(vrḥwvwt),On the streets
הניח(hnyḥ),Placed
העיירה(hʿyyrh),The town
לסיפור(lsypwr),To the story
אליהו(ʾlyhw),elijah
מחייב(mḥyyv),binding
פעילויות(pʿylwywt),activities
ועדה(wʿdh),committee
חברו(ḥvrw),his friend
ותו(wtw),and that
פרי(pry),fruit
תור(twr),turn
קצרות(qṣrwt),shortness
דיני(dyny),laws
הלגיון(hlgywn),Legion
מצביע(mṣvyʿ),pointer
בהר(vhr),In the mountain
עדות(ʿdwt),testimony
במסע(vmsʿ),On the journey
וחשוב(wḥšwv),And important
פרשנות(pršnwt),commentary
החיות(hḥywt),The animals
רווחים(rwwḥym),Spaces
עלילה(ʿlylh),plot
זווית(zwwyt),Angle
ביקור(vyqwr),A visit
ששם(ššm),Where
מצדיק(mṣdyq),Justifies
בחלל(vḥll),In space
מצטער(mṣṭʿr),sorry
באלבום(vʾlvwm),In the album
שמש(šmš),sun
לפורנוגרפיה(lpwrnwgrpyh),To pornography
במישור(vmyšwr),In the plane
האזרח(hʾzrḥ),Citizen
קיומה(qywmh),An existence
מנחה(mnḥh),Guide
מיהו(myhw),Who
התשעים(htšʿym),The nineties
שרירותי(šryrwty),arbitrary
תרם(trm),Contributed to
העזרה(hʿzrh),Help
בספק(vspq),In doubt
לאמת(lʾmt),verify
קריאת(qryʾt),Reading
קולו(qwlw),His voice
פחד(pḥd),fear
והחל(whḥl),And started
לאישור(lʾyšwr),For approval
לזכויות(lzkwywt),For rights
למסע(lmsʿ),For a journey
המזרחי(hmzrḥy),East
בישיבת(vyšyvt),At a meeting
ממלכתי(mmlkty),state
האגודה(hʾgwdh),The Association
לרכז(lrkz),concentrate
בשמות(všmwt),In the names
בתחומי(vtḥwmy),In the fields
והדבר(whdvr),And this
הסתכלה(hstklh),Looked
לאנגליה(lʾnglyh),To England
ומדוע(wmdwʿ),And why
בביתו(vvytw),At home
חמושים(ḥmwšym),Armed
באיזו(vʾyzw),What
הומור(hwmwr),humor
צרפתית(ṣrptyt),French
הפרס(hprs),The prize
מקצועיות(mqṣwʿywt),professionalism
המלכותי(hmlkwty),Royal
התאוריה(htʾwryh),The theory
לעיין(lʿyyn),To review
לאנציקלופדיה(lʾnṣyqlwpdyh),To an encyclopedia
ליפן(lypn),To Japan
לקצר(lqṣr),short
למדיניות(lmdynywt),To the policy
שווייץ(šwwyyṣ),Switzerland
ונס(wns),And miracle
לפרלמנט(lprlmnṭ),To parliament
וחומר(wḥwmr),And material
שטראוס(šṭrʾws),Strauss
תעתיק(tʿtyq),transliteration
המלכותית(hmlkwtyt),Royal
פיסקה(pysqh),A paragraph
הטבח(hṭvḥ),The massacre
שיצרת(šyṣrt),That you created
אפנה(ʾpnh),fashion
למאמר(lmʾmr),To an article
פנחס(pnḥs),Pinchas
תמחוק(tmḥwq),Will delete
הנסיך(hnsyk),The prince
שיניתי(šynyty),I have changed
מוחק(mwḥq),eraser
פלוני(plwny),certain
ירש(yrš),Inherited
תכתוב(tktwv),Write
ור(wr),Rose
בבלי(vvly),Babylonian
השמונים(hšmwnym),The eighties
נסיעה(nsyʿh),travel
שהכל(šhkl),That everything
בקשות(vqšwt),Requests
הזכות(hzkwt),The right
ביתו(vytw),His home
תפיסה(tpysh),perception
רדיו(rdyw),radio
חילופי(ḥylwpy),An exchange
בטלפון(vṭlpwn),On the phone
להביע(lhvyʿ),express
הסעיף(hsʿyp),The section
תמורת(tmwrt),in exchange for
בנים(vnym),Boys
שליטה(šlyṭh),control
דיווח(dywwḥ),A report
בתרבות(vtrvwt),In culture
הטכנולוגיה(hṭknwlwgyh),Technology
לפגוש(lpgwš),meet
לזו(lzw),To that
בתשובה(vtšwvh),In reply
שעובד(šʿwvd),Who works
בילדים(vyldym),In children
יעילה(yʿylh),Effective
לזוז(lzwz),move
עבורם(ʿvwrm),For them
הסמכות(hsmkwt),The authority
משלהם(mšlhm),Their own
מרצה(mrṣh),lecturer
חולה(ḥwlh),patient
מרקס(mrqs),Marx
בנשק(vnšq),In weapons
הרע(hrʿ),Evil
שקשה(šqšh),That is difficult
ממשיכה(mmšykh),Continuing
אות(ʾwt),signal
מכוון(mkwwn),aimed
מייד(myyd),Immediately
הציבורי(hṣyvwry),The public
העיקריים(hʿyqryym),The main ones
הבדיקה(hvdyqh),The test
כפול(kpwl),double
בטלוויזיה(vṭlwwyzyh),On television
העסק(hʿsq),Business
חייה(ḥyyh),Her life
עלות(ʿlwt),cost
מעורר(mʿwrr),arousing
הממצאים(hmmṣʾym),The findings
מזונות(mzwnwt),Foods
עמדו(ʿmdw),Stood
כפולה(kpwlh),Duplicate
הקלה(hqlh),relief
חתם(ḥtm),underwriter
בדיונים(vdywnym),In discussions
מציאות(mṣyʾwt),reality
אמצע(ʾmṣʿ),middle
ההצלחה(hhṣlḥh),Success
אזורי(ʾzwry),regional
נהנה(nhnh),beneficiary
המפורסם(hmpwrsm),The famous
מרחוק(mrḥwq),Remote
נדרשת(ndršt),Required
יל(yl),A child
באירוע(vʾyrwʿ),At an event
ליל(lyl),night
הספירה(hspyrh),AD
לבנים(lvnym),whites
הסביר(hsvyr),Explained
חגיגות(ḥgygwt),Celebrations
לשכוח(lškwḥ),forget
החשובים(hḥšwvym),The most important
ההתנגדות(hhtngdwt),Resistance
המוני(hmwny),Masses
לדעתו(ldʿtw),In his opinion
היווה(hywwh),Was
איור(ʾywr),illustration
מטוסי(mṭwsy),Planes
מוצלחת(mwṣlḥt),Successful
הסוכר(hswkr),The sugar
במבצע(vmvṣʿ),In an operation
בתקווה(vtqwwh),Hoping
בערים(vʿrym),In cities
תוצאה(twṣʾh),result
פרסומי(prswmy),Advertising
התחתון(htḥtwn),Lower
דיווחים(dywwḥym),Reports
זקוקה(zqwqh),Need
כפות(kpwt),Paws
שביל(švyl),path
העל(hʿl),The super
טנקים(ṭnqym),Tanks
נמנע(nmnʿ),impossible
משימות(mšymwt),Tasks
להקל(lhql),facilitate
ימצא(ymṣʾ),Will find
גדר(gdr),fence
עניתי(ʿnyty),I answered
נציגי(nṣygy),Representatives
הרומן(hrwmn),The novel
ויס(wys),Weiss
אחים(ʾḥym),Siblings
מחבר(mḥvr),author
ארבעים(ʾrvʿym),forty
לחקור(lḥqwr),explore
לעומק(lʿwmq),deeply
בשיחה(všyḥh),In a conversation
ולקבל(wlqvl),And get
תחומי(tḥwmy),Domain
יין(yyn),wine
ההיא(hhyʾ),that
השעון(hšʿwn),The watch
החורף(hḥwrp),Winter
וחלקם(wḥlqm),And some
חוקר(ḥwqr),researcher
שאיש(šʾyš),That man
ההתאבדות(hhtʾvdwt),The suicide
כישלון(kyšlwn),Failure
מידת(mydt),The degree of
גבי(gvy),dorsal
משמעית(mšmʿyt),Unequivocally
אלכסנדר(ʾlksndr),Alexander
ריקים(ryqym),Empty
הדסון(hdswn),Hudson
לביקורת(lvyqwrt),For review
אמריקאית(ʾmryqʾyt),American
במסלול(vmslwl),On the track
והפך(whpk),And became
מסגרת(msgrt),frame
כולכם(kwlkm),All of you
ההתקפה(hhtqph),The attack
נכונים(nkwnym),Correctly
ממוקמת(mmwqmt),Located
ארצה(ʾrṣh),To the sake of
גרועים(grwʿym),Bad
הקשורים(hqšwrym),Associated with
להבדיל(lhvdyl),distinguish
להיראות(lhyrʾwt),To look
ניצול(nyṣwl),Exploitation
דמוקרטית(dmwqrṭyt),Democratic
האנס(hʾns),Hans
השיח(hšyḥ),The discourse
תקופות(tqwpwt),Periods
טורקיה(ṭwrqyh),Turkey
אהבתי(ʾhvty),I loved
ברוסיה(vrwsyh),In Russia
חמה(ḥmh),rage
מסויימת(mswyymt),Some
החיפוש(hḥypwš),Search
פתיחה(ptyḥh),opening
כמקובל(kmqwvl),As is the case
היוו(hyww),Was
פקודה(pqwdh),command
תלמידים(tlmydym),Students
פתחה(ptḥh),opening
מכוח(mkwḥ),by virtue of
רשאים(ršʾym),May
ההכנות(hhknwt),Preparations
שחייה(šḥyyh),Swimming
יופיעו(ywpyʿw),Will appear
טבעו(ṭvʿw),Nature
להסתכל(lhstkl),look
רוסית(rwsyt),Russian
סגל(sgl),staff
מבעד(mvʿd),through
ארמון(ʾrmwn),palace
הצצתי(hṣṣty),I have gained
ארגז(ʾrgz),box
הצלחת(hṣlḥt),The plate
מצומצם(mṣwmṣm),limited
בשכונת(vškwnt),In the neighborhood
יסודות(yswdwt),Foundations
המשפטית(hmšpṭyt),The legal
בצעירותו(vṣʿyrwtw),In his youth
מנוהלת(mnwhlt),Managed
העמותה(hʿmwth),The association
סניפים(snypym),Branches
פורטלים(pwrṭlym),Portals
גרמנית(grmnyt),German
הסמל(hsml),The icon
ויקיזציה(wyqyzṣyh),Vicky
לכבד(lkvd),respect
בתקציר(vtqṣyr),In the summary
עורכים(ʿwrkym),Editors
בניסוח(vnyswḥ),In the wording
וילהלם(wylhlm),Wilhelm
בברית(vvryt),In the alliance
הדפים(hdpym),The pages
סיימתי(syymty),I have finished
בחלקו(vḥlqw),In part
עיראק(ʿyrʾq),Iraq
מקביל(mqvyl),parallel
ולצערי(wlṣʿry),And unfortunately
לשכתוב(lšktwv),Writing
פסטיבל(psṭyvl),festival
התיק(htyq),The bag
פרידמן(prydmn),Friedman
בנויים(vnwyym),Built up
במספרים(vmsprym),In numbers
המפעילים(hmpʿylym),The operators
רצוף(rṣwp),consecutive
סיווג(sywwg),Classification
הלורדים(hlwrdym),Lords
הסרתי(hsrty),I have removed
בלוג(vlwg),Blog
טובת(ṭwvt),Good
ליאו(lyʾw),Leo
חותם(ḥwtm),stamp
הצפנה(hṣpnh),Encryption
פסיק(psyq),comma
הטבעיים(hṭvʿyym),The natural
השאיר(hšʾyr),Left
הצ(hṣ),Has been
התלבטות(htlvṭwt),exertion
הספציפי(hspṣypy),The specific
מזהה(mzhh),Id
רגשית(rgšyt),Emotionally
טבלה(ṭvlh),table
פיזית(pyzyt),Physically
גופנית(gwpnyt),Physical
שעובר(šʿwvr),That passes
מלמעלה(mlmʿlh),from above
השיחות(hšyḥwt),The calls
תקבל(tqvl),You will receive
וחוץ(wḥwṣ),And outside
רשימות(ršymwt),Lists
מרוב(mrwv),With
אותיות(ʾwtywt),Letters
בכיוון(vkywwn),In the direction
אתן(ʾtn),you
להעריך(lhʿryk),assess
נסיון(nsywn),experience
שופטים(šwpṭym),Judges
המושגים(hmwšgym),The concepts
במחשב(vmḥšv),On a computer
מצוות(mṣwwt),Mitzvah
שאסור(šʾswr),Which are forbidden
פסקי(psqy),Rulings
ובתי(wvty),And my daughter
נאמן(nʾmn),loyal
המגזר(hmgzr),The sector
מעדיפים(mʿdypym),Prefer
טל(ṭl),Tel
זילנד(zylnd),Zealand
הגבוהה(hgvwhh),The tall
תאי(tʾy),cellular
מנוע(mnwʿ),engine
הרגיל(hrgyl),The usual
החשמל(hḥšml),The electricity
רמה(rmh),level
מבוגר(mvwgr),adult
שיח(šyḥ),discourse
המורה(hmwrh),The teacher
הפלסטינית(hplsṭynyt),Palestinian
נחמן(nḥmn),Nachman
התקיימה(htqyymh),Took place
בשטחים(všṭḥym),In the Occupied Territories
עצמנו(ʿṣmnw),Ourselves
ולפיכך(wlpykk),And thus
המשבר(hmšvr),The crisis
לאומית(lʾwmyt),National
טילים(ṭylym),Missiles
בשורה(všwrh),news
לסיכום(lsykwm),To sum up
ונשים(wnšym),And women
הקוד(hqwd),The code
התפטר(htpṭr),Resigned
וקיבל(wqyvl),And received
קביעת(qvyʿt),Setting up
לבעלי(lvʿly),To my husband
וכלי(wkly),And a vessel
באקדמיה(vʾqdmyh),In academia
תחומים(tḥwmym),Areas
מבקשת(mvqšt),Asking for
הכוללת(hkwllt),Overall
הניתוח(hnytwḥ),The analysis
לנחש(lnḥš),guess
סקר(sqr),survey
פנתה(pnth),Turned
ולמרות(wlmrwt),And despite
בוטה(vwṭh),Blatant
פסיכולוגי(psykwlwgy),psychological
חזקים(ḥzqym),Strong
אשמה(ʾšmh),guilt
בדם(vdm),In the blood
נמוכים(nmwkym),Low
מייצג(myyṣg),Represents
במצרים(vmṣrym),In Egypt
ייצור(yyṣwr),Production
השפעת(hšpʿt),Influence
עודף(ʿwdp),excess
מענה(mʿnh),response
הכרה(hkrh),recognition
הועלה(hwʿlh),Has been uploaded
מכלל(mkll),A whole
הציעו(hṣyʿw),Suggested
המיוחד(hmywḥd),Special
הוצג(hwṣg),Has been presented
בחירתו(vḥyrtw),His choice
עיתונאים(ʿytwnʾym),Journalists
פינה(pynh),Corner
בממשל(vmmšl),In the government
התייחס(htyyḥs),Referred to
ידעה(ydʿh),Knew
נכנסו(nknsw),Have entered
שירי(šyry),Poems
ניתנה(nytnh),Given
להרוג(lhrwg),kill
מצבו(mṣvw),His condition
נכונות(nkwnwt),willingness
צמח(ṣmḥ),plant
ואי(wʾy),And island
להתווכח(lhtwwkḥ),To argue
הלכות(hlkwt),The laws
פוגעת(pwgʿt),Hits
כתובות(ktwvwt),Addresses
הסופר(hswpr),The writer
מעשי(mʿšy),practical
בואינג(vwʾyng),Boeing
נחשבים(nḥšvym),Are considered
זכוכית(zkwkyt),glass
בנפרד(vnprd),separately
פתרונות(ptrwnwt),Solutions
בראיון(vrʾywn),In an interview
אמריקאים(ʾmryqʾym),Americans
פיו(pyw),Pad
רזי(rzy),Rios
לס(ls),Les
שומר(šwmr),guard
איברים(ʾyvrym),Organs
וניתן(wnytn),And can be
לשוב(lšwv),return
מביאים(mvyʾym),Bring
מתחילים(mtḥylym),Beginning
הדר(hdr),splendor
השלושה(hšlwšh),The three
שעוד(šʿwd),Still
ערכת(ʿrkt),A kit
הרמב(hrmv),Harmab
חקירה(ḥqyrh),investigation
הקשור(hqšwr),Associated with
לבעיה(lvʿyh),To a problem
פרוץ(prwṣ),outbreak
נפלא(nplʾ),wonderful
צעירה(ṣʿyrh),young woman
הממוצע(hmmwṣʿ),The average
רגליים(rglyym),Legs
החמישית(hḥmyšyt),Fifth
מחליט(mḥlyṭ),Decides
האבן(hʾvn),The stone
הצבע(hṣvʿ),The color
שאלו(šʾlw),Ask
לחקר(lḥqr),For research
בשאר(všʾr),In the rest
לצבור(lṣvwr),accumulate
לפה(lph),Mouth
גויס(gwys),Grunt
טיעון(ṭyʿwn),A plea
אפוא(ʾpwʾ),therefore
פוליטיים(pwlyṭyym),Political
ישבו(yšvw),Sitting
ומספר(wmspr),And a number
כואב(kwʾv),painful
החלפת(hḥlpt),Replacement
התחרות(htḥrwt),competition
דודו(dwdw),His uncle
עומדים(ʿwmdym),Stand
משפיע(mšpyʿ),influencing
הרווחה(hrwwḥh),Welfare
פונקציות(pwnqṣywt),Functions
בהדסון(vhdswn),Bhadson
עובדי(ʿwvdy),Workers
הבמה(hvmh),The stage
במידת(vmydt),In a degree
גזר(gzr),carrot
תיק(tyq),portfolio
לסמן(lsmn),mark
שנשאר(šnšʾr),Left left
מופיעות(mwpyʿwt),Appear
החלון(hḥlwn),The window
בחו(vḥw),Tested
ליותר(lywtr),To more
חוקה(ḥwqh),constitution
לחוק(lḥwq),To law
תאור(tʾwr),description
דיוק(dywq),accuracy
הסטודנטים(hsṭwdnṭym),Students
הפעלת(hpʿlt),You have enabled
המידה(hmydh),The measure
שחרור(šḥrwr),release
אפי(ʾpy),epic
להיסטוריה(lhysṭwryh),For history
שבעת(švʿt),Seven
נופל(nwpl),Falls
לותר(lwtr),Lip
פותחו(pwtḥw),Have been developed
הצמח(hṣmḥ),The plant
לשחרור(lšḥrwr),To release
ויזואלית(wyzwʾlyt),Visual
בעריכה(vʿrykh),In editing
בישיבה(vyšyvh),In the yeshiva
מוטה(mwṭh),Biased
הצנחנים(hṣnḥnym),The paratroopers
המכון(hmkwn),The Institute
אגודת(ʾgwdt),Association
נווה(nwwh),Neve
מתנצל(mtnṣl),apologetic
חינם(ḥynm),Free
מוצדקת(mwṣdqt),Justified
בהריון(vhrywn),pregnant
