hebrew,count,english_translation
שחזרתי,23,I have returned
מודרנית,23,Modern
אוכלוסיית,23,A population
בשוק,23,In the market
יקבל,23,Will receive
הוכחה,23,proof
אמין,23,reliable
החיל,23,Corps
והיו,23,And were
המשלחת,23,The delegation
יוצאי,23,Views
אשה,23,woman
סבא,23,grandfather
ביצע,23,Performed
סקירה,23,review
משתנים,23,Variables
כראוי,23,Properly
ניר,23,paper
לרמת,23,To the level
חמאס,23,Hamas
שירה,23,poetry
לשיר,23,sing
לצלם,23,photograph
לביצוע,23,to be performed
נוטה,23,inclined
תומכי,23,supporters
לדרוש,23,demand
במצבו,23,in his condition
שבאמת,23,that really
בצער,23,in sorrow
הגולן,23,the golan heights
הצהרת,23,statement
ממלא,23,fills
חיבר,23,connected
ולהתחיל,23,and start
התאריך,23,the date
קווי,23,lines
חיוך,23,smile
צור,23,flint
ציבוריים,23,public
שירותים,23,services
האסיר,23,the prisoner
עונש,23,punishment
דרכי,23,my ways
נציג,23,representative
דרישות,23,requirements
הרישיון,23,the license
ההחלפה,23,the exchange
הרעש,23,the noise
וכד,23,etc
חוזרות,23,repeats
בשכונה,23,in the neighborhood
דוקא,23,precisely
הזקן,23,the old man
אחיד,23,uniform
האחות,23,the nurse
לחינוך,23,for education
החופשית,23,the free one
לתואר,23,for the degree
הקתולית,23,catholic
ארכאולוגיה,23,archaeology
האצולה,23,the nobility
לתמונות,23,for pictures
נמנה,23,one of the
בצבעים,23,in colors
העברתי,23,i transferred
תקציר,23,summary
הרנסאנס,23,the renaissance
תתקבל,23,you will be accepted.
רשומים,23,registered
פתחת,23,you opened
הצי,23,הצי
הקים,23,הקים
לאיחוד,23,לאיחוד
בירוקרט,23,In a bureaucrat
הוצבה,23,הוצבה
בתואר,23,In the degree
דוקטור,23,דוקטור
אוקספורד,23,Oxford
הורחב,23,הורחב
פסולה,23,Disqualified
השחתה,23,השחתה
שהדף,23,That the page
צפת,23,Safed
אילן,23,tree
ידיעתי,23,My knowledge
רדיקלי,23,radical
שעשית,23,That you did
שארל,23,Charles
צהוב,23,yellow
בטקסט,23,In the text
מועיל,23,helpful
עודד,23,Oded
האן,23,Han
סטלין,23,Stalin
וואלה,23,Walla
סלוניקי,23,Thessaloniki
בחור,22,guy
יראה,22,fear
הליכה,22,walk
ודרך,22,And through
שרה,22,Sarah
בשלוש,22,In three
כליל,22,completely
המדרגות,22,The stairs
הפוך,22,reverse
ואינה,22,And not
שהפך,22,That became
העדפתי,22,I preferred
הגעתי,22,I have arrived
במבט,22,In a look
ההתנהגות,22,The behavior
בתשלום,22,Paid
חפצים,22,stuff
גרים,22,Live
לפרט,22,detail
הרצון,22,The will
ישאר,22,Will stay
יעלה,22,Will rise
עניינים,22,Matters
בעניינים,22,In matters
מזג,22,temper
המפגש,22,The encounter
באור,22,In the light
גורף,22,Sweeping
נעשית,22,Is made
הרבים,22,The many
לואיס,22,Lewis
לקהילה,22,To the community
לאתרים,22,To the sites
עור,22,skin
ודי,22,And enough
בסעיף,22,In section
האדומים,22,The Reds
פיליפ,22,Philip
חיוני,22,essential
שותף,22,partner
הפשרה,22,melting
למניעת,22,To prevent
מגע,22,contact
לגיל,22,To age
הקשים,22,The hardness
השירותים,22,The services
והגיע,22,And came
לדרום,22,To the south
גביע,22,cup
שנינו,22,Both of us
הדוגמה,22,The example
עבירה,22,Offense
נגדו,22,Against him
מאידך,22,On the other hand
התרופות,22,The drugs
תוספת,22,extension
בהשוואה,22,Compared to
ההמלצה,22,The recommendation
לבנה,22,brick
לעזרה,22,For help
ולבסוף,22,And finally
המקרא,22,Bible
מוצאים,22,Find
בתורה,22,In the Torah
הצופים,22,The viewers
הסיכוי,22,The chance
לנצל,22,exploit
הפוליטי,22,The political
קם,22,Rose
הרגישה,22,Felt
נפשי,22,mental
התחלה,22,start
עלולים,22,May
מתייחסת,22,Refers to
מודעות,22,awareness
המכריע,22,The decisive
לים,22,To the sea
גז,22,gas
שמגיע,22,That comes
נוסחה,22,formula
כשהם,22,When they are
רץ,22,running
השחרור,22,The release
במדיניות,22,In policy
ממקום,22,From a place
קריירה,22,Career
הספרדי,22,The Spanish
פוטר,22,Potter
ביולי,22,In July
סופית,22,suffix
לבדו,22,himself
נשא,22,Carried
בחיפה,22,In Haifa
בחרו,22,Choose
הקמפיין,22,The campaign
ספציפית,22,Specifically
להודות,22,admit
אט,22,slowly
להשיב,22,answer
ושאר,22,And the rest of
שואה,22,holocaust
הבנת,22,Understanding
מאנשי,22,From people
מאי,22,May
נוצרה,22,Created
הבולטים,22,Prominent
למלך,22,To the king
וילדים,22,And children
ירוק,22,green
מרכזיים,22,Central
נויברגר,22,Nyberger
אביה,22,Her father
לבוש,22,dressed
בארכיון,22,In the archive
יק,22,Will
שליש,22,third
כוס,22,glass
בקבוק,22,bottle
לחימה,22,fighting
גרמני,22,German
לקפוץ,22,jump
עצים,22,Trees
בחומר,22,In the material
בסביבה,22,Around the environment
חלפו,22,Have passed
נגמר,22,finished
סופרים,22,Writers
ולכתוב,22,And write
למטרות,22,For purposes
האמונה,22,Faith
ברחובות,22,On the streets
הניח,22,Placed
העיירה,22,The town
לסיפור,22,To the story
אליהו,22,elijah
מחייב,22,binding
פעילויות,22,activities
ועדה,22,committee
חברו,22,his friend
ותו,22,and that
פרי,22,fruit
תור,22,turn
קצרות,22,shortness
דיני,22,laws
הלגיון,22,Legion
מצביע,22,pointer
בהר,22,In the mountain
עדות,22,testimony
במסע,22,On the journey
וחשוב,22,And important
פרשנות,22,commentary
החיות,22,The animals
רווחים,22,Spaces
עלילה,22,plot
זווית,22,Angle
ביקור,22,A visit
ששם,22,Where
מצדיק,22,Justifies
בחלל,22,In space
מצטער,22,sorry
באלבום,22,In the album
שמש,22,sun
לפורנוגרפיה,22,To pornography
במישור,22,In the plane
האזרח,22,Citizen
קיומה,22,An existence
מנחה,22,Guide
מיהו,22,Who
התשעים,22,The nineties
שרירותי,22,arbitrary
תרם,22,Contributed to
העזרה,22,Help
בספק,22,In doubt
לאמת,22,verify
קריאת,22,Reading
קולו,22,His voice
פחד,22,fear
והחל,22,And started
לאישור,22,For approval
לזכויות,22,For rights
למסע,22,For a journey
המזרחי,22,East
בישיבת,22,At a meeting
ממלכתי,22,state
האגודה,22,The Association
לרכז,22,concentrate
בשמות,22,In the names
בתחומי,22,In the fields
והדבר,22,And this
הסתכלה,22,Looked
לאנגליה,22,To England
ומדוע,22,And why
בביתו,22,At home
חמושים,22,Armed
באיזו,22,What
הומור,22,humor
צרפתית,22,French
הפרס,22,The prize
מקצועיות,22,professionalism
המלכותי,22,Royal
התאוריה,22,The theory
לעיין,22,To review
לאנציקלופדיה,22,To an encyclopedia
ליפן,22,To Japan
לקצר,22,short
למדיניות,22,To the policy
שווייץ,22,Switzerland
ונס,22,And miracle
לפרלמנט,22,To parliament
וחומר,22,And material
שטראוס,22,Strauss
תעתיק,22,transliteration
המלכותית,22,Royal
פיסקה,22,A paragraph
הטבח,22,The massacre
שיצרת,22,That you created
אפנה,22,fashion
למאמר,22,To an article
פנחס,22,Pinchas
תמחוק,22,Will delete
הנסיך,22,The prince
שיניתי,22,I have changed
מוחק,22,eraser
פלוני,22,certain
ירש,22,Inherited
תכתוב,22,Write
ור,22,Rose
בבלי,22,Babylonian
השמונים,21,The eighties
נסיעה,21,travel
שהכל,21,That everything
בקשות,21,Requests
הזכות,21,The right
ביתו,21,His home
תפיסה,21,perception
רדיו,21,radio
חילופי,21,An exchange
בטלפון,21,On the phone
להביע,21,express
הסעיף,21,The section
תמורת,21,in exchange for
בנים,21,Boys
שליטה,21,control
דיווח,21,A report
בתרבות,21,In culture
הטכנולוגיה,21,Technology
לפגוש,21,meet
לזו,21,To that
בתשובה,21,In reply
שעובד,21,Who works
בילדים,21,In children
יעילה,21,Effective
לזוז,21,move
עבורם,21,For them
הסמכות,21,The authority
משלהם,21,Their own
מרצה,21,lecturer
חולה,21,patient
מרקס,21,Marx
בנשק,21,In weapons
הרע,21,Evil
שקשה,21,That is difficult
ממשיכה,21,Continuing
אות,21,signal
מכוון,21,aimed
מייד,21,Immediately
הציבורי,21,The public
העיקריים,21,The main ones
הבדיקה,21,The test
כפול,21,double
בטלוויזיה,21,On television
העסק,21,Business
חייה,21,Her life
עלות,21,cost
מעורר,21,arousing
הממצאים,21,The findings
מזונות,21,Foods
עמדו,21,Stood
כפולה,21,Duplicate
הקלה,21,relief
חתם,21,underwriter
בדיונים,21,In discussions
מציאות,21,reality
אמצע,21,middle
ההצלחה,21,Success
אזורי,21,regional
נהנה,21,beneficiary
המפורסם,21,The famous
מרחוק,21,Remote
נדרשת,21,Required
יל,21,A child
באירוע,21,At an event
ליל,21,night
הספירה,21,AD
לבנים,21,whites
הסביר,21,Explained
חגיגות,21,Celebrations
לשכוח,21,forget
החשובים,21,The most important
ההתנגדות,21,Resistance
המוני,21,Masses
לדעתו,21,In his opinion
היווה,21,Was
איור,21,illustration
מטוסי,21,Planes
מוצלחת,21,Successful
הסוכר,21,The sugar
במבצע,21,In an operation
בתקווה,21,Hoping
בערים,21,In cities
תוצאה,21,result
פרסומי,21,Advertising
התחתון,21,Lower
דיווחים,21,Reports
זקוקה,21,Need
כפות,21,Paws
שביל,21,path
העל,21,The super
טנקים,21,Tanks
נמנע,21,impossible
משימות,21,Tasks
להקל,21,facilitate
ימצא,21,Will find
גדר,21,fence
עניתי,21,I answered
נציגי,21,Representatives
הרומן,21,The novel
ויס,21,Weiss
אחים,21,Siblings
מחבר,21,author
ארבעים,21,forty
לחקור,21,explore
לעומק,21,deeply
בשיחה,21,In a conversation
ולקבל,21,And get
תחומי,21,Domain
יין,21,wine
ההיא,21,that
השעון,21,The watch
החורף,21,Winter
וחלקם,21,And some
חוקר,21,researcher
שאיש,21,That man
ההתאבדות,21,The suicide
כישלון,21,Failure
מידת,21,The degree of
גבי,21,dorsal
משמעית,21,Unequivocally
אלכסנדר,21,Alexander
ריקים,21,Empty
הדסון,21,Hudson
לביקורת,21,For review
אמריקאית,21,American
במסלול,21,On the track
והפך,21,And became
מסגרת,21,frame
כולכם,21,All of you
ההתקפה,21,The attack
נכונים,21,Correctly
ממוקמת,21,Located
ארצה,21,To the sake of
גרועים,21,Bad
הקשורים,21,Associated with
להבדיל,21,distinguish
להיראות,21,To look
ניצול,21,Exploitation
דמוקרטית,21,Democratic
האנס,21,Hans
השיח,21,The discourse
תקופות,21,Periods
טורקיה,21,Turkey
אהבתי,21,I loved
ברוסיה,21,In Russia
חמה,21,rage
מסויימת,21,Some
החיפוש,21,Search
פתיחה,21,opening
כמקובל,21,As is the case
היוו,21,Was
פקודה,21,command
תלמידים,21,Students
פתחה,21,opening
מכוח,21,by virtue of
רשאים,21,May
ההכנות,21,Preparations
שחייה,21,Swimming
יופיעו,21,Will appear
טבעו,21,Nature
להסתכל,21,look
רוסית,21,Russian
סגל,21,staff
מבעד,21,through
ארמון,21,palace
הצצתי,21,I have gained
ארגז,21,box
הצלחת,21,The plate
מצומצם,21,limited
בשכונת,21,In the neighborhood
יסודות,21,Foundations
המשפטית,21,The legal
בצעירותו,21,In his youth
מנוהלת,21,Managed
העמותה,21,The association
סניפים,21,Branches
פורטלים,21,Portals
גרמנית,21,German
הסמל,21,The icon
ויקיזציה,21,Vicky
לכבד,21,respect
בתקציר,21,In the summary
עורכים,21,Editors
בניסוח,21,In the wording
וילהלם,21,Wilhelm
בברית,21,In the alliance
הדפים,21,The pages
סיימתי,21,I have finished
בחלקו,21,In part
עיראק,21,Iraq
מקביל,21,parallel
ולצערי,21,And unfortunately
לשכתוב,21,Writing
פסטיבל,21,festival
התיק,21,The bag
פרידמן,21,Friedman
בנויים,21,Built up
במספרים,21,In numbers
המפעילים,21,The operators
רצוף,21,consecutive
סיווג,21,Classification
הלורדים,21,Lords
הסרתי,21,I have removed
בלוג,21,Blog
טובת,21,Good
ליאו,21,Leo
חותם,21,stamp
הצפנה,21,Encryption
פסיק,21,comma
הטבעיים,21,The natural
השאיר,20,Left
הצ,20,Has been
התלבטות,20,exertion
הספציפי,20,The specific
מזהה,20,Id
רגשית,20,Emotionally
טבלה,20,table
פיזית,20,Physically
גופנית,20,Physical
שעובר,20,That passes
מלמעלה,20,from above
השיחות,20,The calls
תקבל,20,You will receive
וחוץ,20,And outside
רשימות,20,Lists
מרוב,20,With
אותיות,20,Letters
בכיוון,20,In the direction
אתן,20,you
להעריך,20,assess
נסיון,20,experience
שופטים,20,Judges
המושגים,20,The concepts
במחשב,20,On a computer
מצוות,20,Mitzvah
שאסור,20,Which are forbidden
פסקי,20,Rulings
ובתי,20,And my daughter
נאמן,20,loyal
המגזר,20,The sector
מעדיפים,20,Prefer
טל,20,Tel
זילנד,20,Zealand
הגבוהה,20,The tall
תאי,20,cellular
מנוע,20,engine
הרגיל,20,The usual
החשמל,20,The electricity
רמה,20,level
מבוגר,20,adult
שיח,20,discourse
המורה,20,The teacher
הפלסטינית,20,Palestinian
נחמן,20,Nachman
התקיימה,20,Took place
בשטחים,20,In the Occupied Territories
עצמנו,20,Ourselves
ולפיכך,20,And thus
המשבר,20,The crisis
לאומית,20,National
טילים,20,Missiles
בשורה,20,news
לסיכום,20,To sum up
ונשים,20,And women
הקוד,20,The code
התפטר,20,Resigned
וקיבל,20,And received
קביעת,20,Setting up
לבעלי,20,To my husband
וכלי,20,And a vessel
באקדמיה,20,In academia
תחומים,20,Areas
מבקשת,20,Asking for
הכוללת,20,Overall
הניתוח,20,The analysis
לנחש,20,guess
סקר,20,survey
פנתה,20,Turned
ולמרות,20,And despite
בוטה,20,Blatant
פסיכולוגי,20,psychological
חזקים,20,Strong
אשמה,20,guilt
בדם,20,In the blood
נמוכים,20,Low
מייצג,20,Represents
במצרים,20,In Egypt
ייצור,20,Production
השפעת,20,Influence
עודף,20,excess
מענה,20,response
הכרה,20,recognition
הועלה,20,Has been uploaded
מכלל,20,A whole
הציעו,20,Suggested
המיוחד,20,Special
הוצג,20,Has been presented
בחירתו,20,His choice
עיתונאים,20,Journalists
פינה,20,Corner
בממשל,20,In the government
התייחס,20,Referred to
ידעה,20,Knew
נכנסו,20,Have entered
שירי,20,Poems
ניתנה,20,Given
להרוג,20,kill
מצבו,20,His condition
נכונות,20,willingness
צמח,20,plant
ואי,20,And island
להתווכח,20,To argue
הלכות,20,The laws
פוגעת,20,Hits
כתובות,20,Addresses
הסופר,20,The writer
מעשי,20,practical
בואינג,20,Boeing
נחשבים,20,Are considered
זכוכית,20,glass
בנפרד,20,separately
פתרונות,20,Solutions
בראיון,20,In an interview
אמריקאים,20,Americans
פיו,20,Pad
רזי,20,Rios
לס,20,Les
שומר,20,guard
איברים,20,Organs
וניתן,20,And can be
לשוב,20,return
מביאים,20,Bring
מתחילים,20,Beginning
הדר,20,splendor
השלושה,20,The three
שעוד,20,Still
ערכת,20,A kit
הרמב,20,Harmab
חקירה,20,investigation
הקשור,20,Associated with
לבעיה,20,To a problem
פרוץ,20,outbreak
נפלא,20,wonderful
צעירה,20,young woman
הממוצע,20,The average
רגליים,20,Legs
החמישית,20,Fifth
מחליט,20,Decides
האבן,20,The stone
הצבע,20,The color
שאלו,20,Ask
לחקר,20,For research
בשאר,20,In the rest
לצבור,20,accumulate
לפה,20,Mouth
גויס,20,Grunt
טיעון,20,A plea
אפוא,20,therefore
פוליטיים,20,Political
ישבו,20,Sitting
ומספר,20,And a number
כואב,20,painful
החלפת,20,Replacement
התחרות,20,competition
דודו,20,His uncle
עומדים,20,Stand
משפיע,20,influencing
הרווחה,20,Welfare
פונקציות,20,Functions
בהדסון,20,Bhadson
עובדי,20,Workers
הבמה,20,The stage
במידת,20,In a degree
גזר,20,carrot
תיק,20,portfolio
לסמן,20,mark
שנשאר,20,Left left
מופיעות,20,Appear
החלון,20,The window
בחו,20,Tested
ליותר,20,To more
חוקה,20,constitution
לחוק,20,To law
תאור,20,description
דיוק,20,accuracy
הסטודנטים,20,Students
הפעלת,20,You have enabled
המידה,20,The measure
שחרור,20,release
אפי,20,epic
להיסטוריה,20,For history
שבעת,20,Seven
נופל,20,Falls
לותר,20,Lip
פותחו,20,Have been developed
הצמח,20,The plant
לשחרור,20,To release
ויזואלית,20,Visual
בעריכה,20,In editing
בישיבה,20,In the yeshiva
מוטה,20,Biased
הצנחנים,20,The paratroopers
המכון,20,The Institute
אגודת,20,Association
נווה,20,Neve
מתנצל,20,apologetic
חינם,20,Free
מוצדקת,20,Justified
בהריון,20,pregnant
המדריך,20,The guide
הוראה,20,teaching
אוגוסט,20,August
בלשכת,20,In the bureau
מתאימים,20,Fit
יקח,20,Will take
עכשו,20,Contemporary
ארי,20,lion
מיחד,20,Together
בתחנת,20,At the station
בצחוק,20,jokingly
הפרקים,20,The episodes
לבוט,20,To pend
דורית,20,Dorit
צי,20,Jerk
נקראו,20,Were called
שוכנת,20,Lies
אבקשך,20,I will ask for
חזקות,20,Strong
בתבניות,20,In molds
עיריית,20,Municipality
אקספלורר,20,Explorer
כמפקד,20,As a commander
גאוגרפי,20,geographic
במוזיאון,20,In the museum
במונח,20,In the term
כימיה,20,chemistry
האבירים,20,The knights
כנסייה,20,Church
הליכוד,20,Likud
פעילותו,20,His activity
תיכון,20,secondary
קום,20,Up
לניו,20,Leno
הנפוץ,20,Common
פרנק,20,franc
שנויים,20,שנויים
התגורר,20,Have lived
שביקשת,20,You have requested
הטעות,20,The mistake
האוס,20,House
כוכבי,20,stellar
נייטרלית,20,Neutral
גזעים,20,Races
הלוגו,20,The logo
הכחדה,20,extinction
כאל,20,Like
דואג,20,Caring
שאינך,20,That you do not
הורדתי,20,I have been downloaded
כץ,20,Katz
זרות,20,strangeness
הציטוט,20,The quote
פולמוס,20,polemics
וידאו,20,video
רביעית,20,quarter
מסנג,20,Momang
השופטים,20,The judges
תוכלי,20,You can
לגופו,20,On its own
שורש,20,root
תאוריה,20,theory
פולי,20,Polly
מרדוק,20,Merdok
וחמישה,19,And five
לקחתי,19,I have taken
פתחתי,19,I opened
וברור,19,And obviously
שתיהן,19,both
האוכל,19,The food
לרחוב,19,To the street
האש,19,The fire
המזל,19,Lucky
לימד,19,Taught
יסודי,19,thorough
יצאתי,19,I went out
מושלם,19,perfect
לתיאור,19,To describe
מפאת,19,because
כמי,19,As someone
נשימה,19,breathing
ותיק,19,veteran
לתיקון,19,For repair
מסבירה,19,Explains
נפלו,19,Fell
כתבו,19,Write
ומעלה,19,And above
מינים,19,Species
שכנראה,19,Apparently
התחילה,19,Started
השר,19,The minister
האמור,19,That
הרבנות,19,The rabbinate
קמפיין,19,Campaign
לצפייה,19,For viewing
נפשות,19,Souls
הצעירים,19,The young people
איום,19,threat
לשפה,19,To the language
בבחינת,19,In the exam
בתפוז,19,In orange
פשע,19,crime
לעצמם,19,To themselves
דלק,19,fuel
הגג,19,The roof
שיחקה,19,Played
בוודאות,19,Certainly
מסוגלים,19,Are capable of
אמון,19,faith
לילד,19,To a child
תמשיך,19,Will continue
אנוש,19,mortal
הרשויות,19,Authorities
ברשות,19,In the possession
תיעוד,19,Documentation
סיני,19,Chinese
לתקוף,19,attack
עצומה,19,petition
סחר,19,trade
תגובת,19,Response
עולמית,19,Worldwide
שישראל,19,That Israel
מאמינים,19,Believers
זוכים,19,Winners
אספירין,19,aspirin
גבוהות,19,Tall
העובר,19,The fetus
בערבית,19,In Arabic
שכתבו,19,Who wrote
עצמן,19,Themselves
השתמשו,19,Have used
יבואו,19,Will come
בקשת,19,Request
לסיוע,19,To assist
כלכלי,19,economic
פסוקים,19,Verses
לשנת,19,For a year
שחקני,19,Players
חכמה,19,wisdom
הודיעו,19,Announced
מצאה,19,Found
שאליו,19,To him
נדרשים,19,Are required
לדאוג,19,worry
במקומו,19,In its place
ליתר,19,To the rest
באורח,19,In the guest
האחרות,19,The other
החזר,19,refund
בינלאומיים,19,International
וג,19,Vagan
החתימה,19,Signing
הפרת,19,Breach
הראשיים,19,The top
סיור,19,tour
זרוע,19,arm
נפט,19,oil
פוקס,19,Fox
הבטיח,19,Promised
עובדיה,19,Its employees
בתנועה,19,In motion
לרגל,19,spy
הטענות,19,The claims
נכנסה,19,Entered
הגענו,19,We have arrived
ממספר,19,From a number
קרובי,19,Relatives
אחות,19,sister
תשעה,19,Nine
גדולי,19,A large
במחיר,19,At the price
מרוקו,19,Morocco
אונס,19,Rape
הצעירה,19,The young woman
ולמעשה,19,And in fact
הטרור,19,Terrorism
התאומים,19,The twins
תקינה,19,standardization
רכיבים,19,Components
פירות,19,Fruits
מכילה,19,Contains
חיוניים,19,Are essential
לתוכנית,19,For a program
נשארה,19,Stayed
מרץ,19,March
קרי,19,curry
אוסלו,19,Oslo
שנותרו,19,Left left
הסכסוך,19,The conflict
לאלתר,19,improvise
ומתן,19,And giving
משאיר,19,Leaving
קריטי,19,critical
ההשפעה,19,The effect
מחוזות,19,Districts
שוות,19,Equal
הטנק,19,Tank
דהיינו,19,Ie
ממשחק,19,From a game
מיוחדות,19,Special
טכני,19,technical
חלונות,19,Windows
דלתות,19,Doors
ואומר,19,And say
ראינו,19,We have seen
התיאטרון,19,Theater
אבני,19,stony
הרפואה,19,Medicine
בגרסה,19,In the version
פנימיים,19,Internal
השמן,19,The oil
אוהד,19,Fan
מודל,19,model
הכדור,19,The ball
וכמו,19,And as
לנכון,19,In accordance with
הרוסי,19,The Russian
תקלה,19,fault
סגירת,19,Closing
הבינו,19,Understood
בודק,19,checker
נועדו,19,Designed for
סלנג,19,slang
ולבן,19,And white
בראשי,19,In my head
במשיכת,19,In an attraction
בתוכה,19,In it
הקפה,19,The coffee
חפץ,19,object
ולראות,19,And see
תרבותית,19,Culturally
נתקלת,19,You have encountered
יריחו,19,Jericho
באילת,19,In Eilat
ביניהן,19,Between them
החלב,19,The milk
וכיום,19,And now
שוכן,19,situated
בחרתי,19,I chose
במבנה,19,In the structure
בפוליטיקה,19,In politics
סכסוך,19,conflict
להעמיד,19,place
הוויכוח,19,The debate
אמנון,19,tilapia
הכתוב,19,Writing
יונתן,19,Jonathan
גדי,19,kid
משרת,19,servant
שובו,19,His return
דיין,19,Your
האוקיינוס,19,The ocean
אפקט,19,effect
הדורות,19,Generations
הלידה,19,Birth
בסיסית,19,Basic
לוויינים,19,Satellites
וליצור,19,And create
קרני,19,horny
חריפה,19,Acute
המירוץ,19,The race
תומאס,19,Thomas
חסימות,19,Blocks
ערבים,19,Arabs
להעניק,19,grant
מטאל,19,Metal
אצטרך,19,I will have to
לדמיין,19,To imagine
דורשים,19,Requires
אחריה,19,After
הדתי,19,The religious
ביוון,19,In Greece
מוצאת,19,Finds
הטיעון,19,The argument
לביטול,19,To cancel
ובעל,19,And owner
הוצגה,19,Shown
חנויות,19,Shops
סקס,19,sex
חזון,19,vision
מדינית,19,Political
המסע,19,The journey
כלב,19,dog
בחזית,19,in front of
לשמר,19,preserve
נע,19,moving
כבדות,19,heaviness
הרבי,19,The Rebbe
האנושות,19,Humanity
תושב,19,resident
נצטרך,19,We will need
עז,19,goat
שפירא,19,Shapiro
דואר,19,mail
המחלקה,19,The department
ושני,19,And two
ניתנים,19,Are given
טיפ,19,tip
הנאצים,19,The Nazi
חריגה,19,deviation
ברכבת,19,By train
קמה,19,Rose
הנהר,19,The river
בקבוקים,19,Bottles
חתול,19,cat
לאנגלית,19,To English
מצביעים,19,Voters
נצה,19,A
במיזם,19,In the venture
ללימודי,19,To my studies
פורד,19,Ford
למשתמשים,19,For users
אדולף,19,Adolph
מזרחי,19,east
רצ,19,Will
גשר,19,bridge
נבחרות,19,Team
המאוחדת,19,The united
לידיעתך,19,Please note
הימין,19,The right
מרשל,19,Marshall
אצלך,19,With you
הפורטלים,19,The portals
קיימברידג,19,Cambridge
מקוצר,19,shortened
פרדוקס,19,paradox
במסחר,19,In trade
חופפים,19,Overlap
להתאים,19,adjust
לשיפור,19,For improvement
האלגוריתם,19,The algorithm
בוטינסקי,19,Botinsky
שבערך,19,In the value
זמין,19,available
הטמפרטורה,19,The temperature
אייל,19,A reindeer
מויקיפדיה,19,Wikipedia
תפתח,19,Will open
נולדו,19,Were born
צפיפות,19,density
הבל,19,steam
ביצעתי,19,I have made
לנדאו,19,Landau
מאפיין,19,A characteristic
קריטריון,19,criterion
לכתיבה,19,For writing
כשרות,19,kashrut
מסמך,19,document
אלגוריתם,19,algorithm
בפסקה,19,In the paragraph
ההערות,19,The comments
נשוי,19,married
פושע,19,criminal
בטענה,19,On the grounds
להכחיש,19,deny
בבוט,19,In a bot
טור,19,column
צולם,19,Photographed
קצה,19,end
מוטעה,19,wrong
להיכנע,19,Succumb to
טרחת,19,A hassle
בפניו,19,In his face
אחוזים,18,percentage
נקי,18,net
פניתי,18,I turned
פרצה,18,gap
ברצינות,18,seriously
ארון,18,locker
החלטנו,18,We have decided
והכל,18,And everything
אכתוב,18,I will write
נתחיל,18,Let's start
ועושה,18,And makes
בדברים,18,In things
קשיים,18,Difficulties
קיצוניים,18,Extreme
נכנסת,18,You entered
לגוף,18,To the body
למראה,18,For a mirror
בשיטת,18,In a method
סיפרה,18,Told
מרכזית,18,Central
ביניים,18,Interim
תקציב,18,budget
סימנים,18,Signs
יציבה,18,posture
כמוהו,18,Like him
אמה,18,aqueduct
מנוחה,18,rest
הרגשה,18,feeling
הפלילי,18,The criminal
שרים,18,Singing
לפצל,18,split
פיצול,18,A split
מיידית,18,Immediately
נוהגים,18,Practiced
בלית,18,debris
העלו,18,Uploaded
הטיעונים,18,The arguments
מתח,18,tension
בטוחים,18,Safe
מבקשים,18,Asking for
מחפשים,18,Are looking for
הישנה,18,Old
פורומים,18,Forums
ותיקים,18,Veterans
מכדי,18,Too
לחשבון,18,To an account
תעלה,18,channel
עירוני,18,urban
הראה,18,Showed
החברים,18,Friends
שימו,18,Put
תצליח,18,Will succeed
זיהום,18,Infection
החום,18,The heat
ביישוב,18,In the locality
רוני,18,Ronnie
להתחמק,18,evade
מלווה,18,accompanied
תקנות,18,Regulations
לכפר,18,To the village
בענף,18,In the branch
דונלד,18,Donald
פתוחות,18,Open
ישראליות,18,Israelis
הסיבוב,18,The round
החזקות,18,The holdings
לכבוד,18,in honor of
אומץ,18,Courage
הטבות,18,Benefits
מדד,18,index
המחנה,18,Camp
למדינת,18,To the state
הרופאים,18,Doctors
סרטן,18,cancer
חלופה,18,alternative
סמואל,18,Samuel
הנמצא,18,Found
רות,18,Rout
נוסחאות,18,Formulas
שימשה,18,Used to
כנשיא,18,As president
נאלצו,18,Have been forced
סיימה,18,Finished
ומיד,18,And immediately
קבועה,18,Permanent
הובילה,18,Led to
מיותרות,18,Unnecessary
מראים,18,Show
לחוות,18,experience
מודעים,18,Aware
למתן,18,To give
יציבות,18,stability
צאן,18,sheep
למצרים,18,To Egypt
לחודש,18,per month
נובל,18,Nobel
הטבעי,18,The natural
להגדיל,18,increase
הלכתי,18,I went
טיפה,18,A drop
להתקדם,18,progress
השכר,18,Wages
ירדה,18,companionway
עונות,18,Seasons
הסתיים,18,Ended
אומנם,18,Although
שעשיתי,18,I have done
פרטיים,18,Private
לחלל,18,desecrate
החקיקה,18,The legislation
בדרכו,18,On his way
בגודל,18,In size
נוגע,18,touching
המפתח,18,The key
הספרדית,18,Spanish
הדעה,18,Opinion
להדגיש,18,emphasize
ברכה,18,blessing
תוכנה,18,software
כניסת,18,Entry
כוללים,18,Include
נעשתה,18,Has been made
נוחה,18,Convenient
ארבעת,18,Four
בתנ,18,In the face
שחורה,18,Black
סייבר,18,Cyber
אמי,18,My mother
הבשורה,18,The gospel
מרוצה,18,satisfied
ישו,18,Jesus
בילדותו,18,In his childhood
הפלסטינים,18,The Palestinians
נבנו,18,Were built
הנסיעה,18,The ride
לפרוץ,18,break
שעברו,18,Who went through
בראשות,18,Led by
נטל,18,burden
מינג,18,Ming
